"time","cholera_deaths","population"
1899.25,245,2600838.5
1899.333333,549,2603035.7
1899.416667,215,2605244.2
1899.5,9,2607464.3
1899.583333,7,2609695.9
1899.666667,31,2611939.3
1899.75,236,2614194.5
1899.833333,279,2616461.7
1899.916667,819,2618741
1900,1728,2621032.4
1900.083333,1942,2623336.2
1900.166667,1251,2625652.3
1900.25,3521,2627981
1900.333333,3412,2630322.4
1900.416667,290,2632676.5
1900.5,46,2635043.4
1900.583333,35,2637423.4
1900.666667,14,2639816.5
1900.75,79,2642222.7
1900.833333,852,2644642.3
1900.916667,2951,2647075.4
1901,2656,2649522
1901.083333,607,2651982.2
1901.166667,172,2654455.8
1901.25,325,2656942.5
1901.333333,2191,2659442.1
1901.416667,584,2661954.1
1901.5,58,2664478.4
1901.583333,38,2667014.7
1901.666667,8,2669562.7
1901.75,22,2672122
1901.833333,50,2674692.5
1901.916667,380,2677273.8
1902,2059,2679865.6
1902.083333,938,2682467.7
1902.166667,389,2685079.7
1902.25,767,2687701.5
1902.333333,1882,2690332.6
1902.416667,286,2692972.9
1902.5,94,2695622
1902.583333,61,2698279.7
1902.666667,10,2700945.6
1902.75,106,2703619.5
1902.833333,281,2706301.1
1902.916667,357,2708990.1
1903,1388,2711686.2
1903.083333,810,2714389.2
1903.166667,306,2717098.7
1903.25,381,2719814.5
1903.333333,1308,2722536.3
1903.416667,702,2725263.8
1903.5,87,2727996.7
1903.583333,9,2730734.7
1903.666667,14,2733477.6
1903.75,36,2736225.1
1903.833333,46,2738976.8
1903.916667,553,2741732.5
1904,1302,2744492
1904.083333,618,2747254.8
1904.166667,147,2750020.8
1904.25,414,2752789.7
1904.333333,768,2755561.1
1904.416667,373,2758334.9
1904.5,39,2761110.6
1904.583333,10,2763888
1904.666667,36,2766666.9
1904.75,151,2769446.9
1904.833333,1130,2772227.8
1904.916667,3437,2775009.3
1905,4041,2777791.1
1905.083333,1415,2780572.8
1905.166667,207,2783354.3
1905.25,92,2786135.3
1905.333333,128,2788915.4
1905.416667,147,2791694.4
1905.5,32,2794471.9
1905.583333,7,2797247.8
1905.666667,59,2800021.6
1905.75,426,2802793.3
1905.833333,2644,2805562.3
1905.916667,2891,2808328.5
1906,4249,2811091.6
1906.083333,2291,2813851.3
1906.166667,797,2816607.3
1906.25,680,2819359.4
1906.333333,1036,2822107.2
1906.416667,404,2824850.4
1906.5,41,2827588.8
1906.583333,19,2830322.1
1906.666667,12,2833050
1906.75,10,2835772.2
1906.833333,121,2838488.4
1906.916667,931,2841198.4
1907,2158,2843901.8
1907.083333,1886,2846598.5
1907.166667,803,2849288
1907.25,397,2851970.1
1907.333333,613,2854644.6
1907.416667,132,2857311.1
1907.5,48,2859969.4
1907.583333,17,2862619.1
1907.666667,22,2865260
1907.75,26,2867891.8
1907.833333,34,2870514.2
1907.916667,344,2873127
1908,657,2875729.8
1908.083333,117,2878322.4
1908.166667,75,2880904.5
1908.25,443,2883475.7
1908.333333,972,2886035.9
1908.416667,646,2888584.7
1908.5,107,2891121.8
1908.583333,18,2893647
1908.666667,6,2896159.9
1908.75,9,2898660.4
1908.833333,5,2901148
1908.916667,12,2903622.6
1909,142,2906083.7
1909.083333,133,2908531.3
1909.166667,189,2910964.9
1909.25,1715,2913384.3
1909.333333,3115,2915789.1
1909.416667,1412,2918179.2
1909.5,182,2920554.2
1909.583333,50,2922913.9
1909.666667,37,2925257.9
1909.75,77,2927586
1909.833333,475,2929897.8
1909.916667,1730,2932193.2
1910,1489,2934471.8
1910.083333,620,2936733.3
1910.166667,190,2938977.4
1910.25,571,2941203.9
1910.333333,1558,2943412.5
1910.416667,440,2945602.9
1910.5,27,2947774.8
1910.583333,7,2949928
1910.666667,14,2952062
1910.75,93,2954176.7
1910.833333,1462,2956271.8
1910.916667,2467,2958347
1911,1703,2960402
1911.083333,1262,2962436.6
1911.166667,458,2964450.9
1911.25,453,2966445.2
1911.333333,717,2968419.8
1911.416667,232,2970374.8
1911.5,26,2972310.5
1911.583333,16,2974227.1
1911.666667,18,2976124.9
1911.75,9,2978004
1911.833333,78,2979864.8
1911.916667,353,2981707.5
1912,897,2983532.3
1912.083333,777,2985339.4
1912.166667,404,2987129.1
1912.25,799,2988901.6
1912.333333,2067,2990657.1
1912.416667,613,2992395.9
1912.5,98,2994118.2
1912.583333,19,2995824.3
1912.666667,26,2997514.3
1912.75,47,2999188.6
1912.833333,171,3000847.3
1912.916667,767,3002490.7
1913,1896,3004119
1913.083333,887,3005732.5
1913.166667,325,3007331.3
1913.25,816,3008915.8
1913.333333,1653,3010486.2
1913.416667,355,3012042.6
1913.5,85,3013585.4
1913.583333,54,3015114.7
1913.666667,88,3016630.9
1913.75,609,3018134
1913.833333,882,3019624.5
1913.916667,1363,3021102.4
1914,2178,3022568.1
1914.083333,580,3024021.8
1914.166667,396,3025463.7
1914.25,1493,3026894
1914.333333,2154,3028313
1914.416667,683,3029720.9
1914.5,78,3031118
1914.583333,19,3032504.5
1914.666667,10,3033880.5
1914.75,27,3035246.5
1914.833333,88,3036602.5
1914.916667,1178,3037948.8
1915,1862,3039285.8
1915.083333,611,3040613.5
1915.166667,478,3041932.2
1915.25,2697,3043242.2
1915.333333,3395,3044543.7
1915.416667,520,3045836.9
1915.5,67,3047122.1
1915.583333,41,3048399.5
1915.666667,36,3049669.4
1915.75,209,3050931.9
1915.833333,559,3052187.3
1915.916667,971,3053435.9
1916,2144,3054677.9
1916.083333,1099,3055913.5
1916.166667,494,3057142.9
1916.25,586,3058366.4
1916.333333,508,3059584.2
1916.416667,269,3060796.6
1916.5,27,3062003.8
1916.583333,19,3063206
1916.666667,21,3064403.4
1916.75,12,3065596.4
1916.833333,22,3066785
1916.916667,333,3067969.7
1917,676,3069150.5
1917.083333,487,3070327.8
1917.166667,262,3071501.8
1917.25,535,3072672.6
1917.333333,979,3073840.6
1917.416667,170,3075006
1917.5,25,3076168.9
1917.583333,9,3077329.8
1917.666667,19,3078488.7
1917.75,13,3079645.9
1917.833333,45,3080801.6
1917.916667,229,3081956.2
1918,673,3083109.7
1918.083333,432,3084262.6
1918.166667,107,3085414.9
1918.25,373,3086566.9
1918.333333,1126,3087718.9
1918.416667,339,3088871.1
1918.5,19,3090023.7
1918.583333,11,3091177
1918.666667,3,3092331.2
1918.75,15,3093486.5
1918.833333,101,3094643.1
1918.916667,539,3095801.4
1919,709,3096961.5
1919.083333,200,3098123.7
1919.166667,208,3099288.2
1919.25,926,3100455.3
1919.333333,1783,3101625.1
1919.416667,831,3102798
1919.5,103,3103974
1919.583333,37,3105153.6
1919.666667,17,3106336.9
1919.75,33,3107524.2
1919.833333,179,3108715.6
1919.916667,426,3109911.4
1920,795,3111112
1920.083333,481,3112317.4
1920.166667,491,3113527.9
1920.25,773,3114743.8
1920.333333,936,3115965.3
1920.416667,325,3117192.6
1920.5,101,3118426
1920.583333,22,3119665.7
1920.666667,25,3120912
1920.75,24,3122165
1920.833333,88,3123425
1920.916667,633,3124692.3
1921,513,3125967
1921.083333,298,3127249.5
1921.166667,93,3128540
1921.25,687,3129838.9
1921.333333,1750,3131146.6
1921.416667,356,3132463.3
1921.5,33,3133789.4
1921.583333,2,3135125.3
1921.666667,18,3136471.2
1921.75,70,3137827.6
1921.833333,648,3139194.7
1921.916667,2471,3140573
1922,1270,3141962.7
1922.083333,616,3143364.2
1922.166667,193,3144777.8
1922.25,706,3146203.8
1922.333333,1372,3147642.7
1922.416667,668,3149094.7
1922.5,107,3150560.1
1922.583333,58,3152039.4
1922.666667,21,3153532.9
1922.75,23,3155040.8
1922.833333,93,3156563.6
1922.916667,318,3158101.5
1923,867,3159654.9
1923.083333,332,3161224.2
1923.166667,118,3162809.7
1923.25,437,3164411.8
1923.333333,2233,3166030.6
1923.416667,491,3167666.7
1923.5,27,3169320.4
1923.583333,7,3170991.9
1923.666667,21,3172681.7
1923.75,96,3174390
1923.833333,360,3176117.2
1923.916667,783,3177863.6
1924,1492,3179629.7
1924.083333,550,3181415.6
1924.166667,176,3183221.8
1924.25,633,3185048.6
1924.333333,922,3186896.4
1924.416667,267,3188765.4
1924.5,91,3190656
1924.583333,42,3192568.6
1924.666667,4,3194503.5
1924.75,10,3196461
1924.833333,7,3198441.5
1924.916667,43,3200445.3
1925,377,3202472.7
1925.083333,563,3204524.2
1925.166667,284,3206599.9
1925.25,298,3208700.4
1925.333333,625,3210825.8
1925.416667,131,3212976.6
1925.5,35,3215153
1925.583333,12,3217355.5
1925.666667,8,3219584.3
1925.75,9,3221839.9
1925.833333,83,3224122.4
1925.916667,502,3226432.4
1926,551,3228770.1
1926.083333,256,3231135.8
1926.166667,198,3233529.9
1926.25,664,3235952.8
1926.333333,1701,3238404.7
1926.416667,425,3240886.1
1926.5,76,3243397.2
1926.583333,17,3245938.4
1926.666667,9,3248510
1926.75,16,3251112.4
1926.833333,5,3253745.9
1926.916667,141,3256410.8
1927,806,3259107.6
1927.083333,1603,3261836.4
1927.166667,587,3264597.7
1927.25,530,3267391.9
1927.333333,771,3270219.1
1927.416667,511,3273079.9
1927.5,97,3275974.5
1927.583333,35,3278903.2
1927.666667,39,3281866.4
1927.75,156,3284864.5
1927.833333,1097,3287897.7
1927.916667,1233,3290966.5
1928,1418,3294071.1
1928.083333,1125,3297211.9
1928.166667,420,3300389.3
1928.25,1592,3303603.5
1928.333333,4169,3306854.9
1928.416667,1535,3310143.9
1928.5,371,3313470.7
1928.583333,139,3316835.8
1928.666667,55,3320239.5
1928.75,85,3323682.1
1928.833333,538,3327163.9
1928.916667,1676,3330685.3
1929,1435,3334246.6
1929.083333,804,3337848.2
1929.166667,370,3341490.4
1929.25,477,3345173.5
1929.333333,394,3348897.9
1929.416667,306,3352663.9
1929.5,132,3356471.9
1929.583333,84,3360322.2
1929.666667,87,3364215.1
1929.75,53,3368151
1929.833333,391,3372130.2
1929.916667,1541,3376153.1
1930,1859,3380219.9
1930.083333,894,3384331.1
1930.166667,326,3388487
1930.25,853,3392687.8
1930.333333,1891,3396934
1930.416667,1009,3401225.9
1930.5,131,3405563.9
1930.583333,77,3409948.2
1930.666667,63,3414379.2
1930.75,66,3418857.2
1930.833333,33,3423382.6
1930.916667,178,3427955.8
1931,1003,3432577
1931.083333,1051,3437246.5
1931.166667,488,3441964
1931.25,911,3446729.1
1931.333333,1806,3451541.3
1931.416667,837,3456400.4
1931.5,280,3461305.8
1931.583333,132,3466257.2
1931.666667,76,3471254.2
1931.75,381,3476296.3
1931.833333,1328,3481383.2
1931.916667,2639,3486514.5
1932,2164,3491689.7
1932.083333,1082,3496908.5
1932.166667,326,3502170.4
1932.25,254,3507475.1
1932.333333,258,3512822.1
1932.416667,119,3518211
1932.5,106,3523641.5
1932.583333,93,3529113.1
1932.666667,29,3534625.4
1932.75,17,3540178.1
1932.833333,17,3545770.7
1932.916667,17,3551402.7
1933,46,3557073.9
1933.083333,79,3562783.8
1933.166667,135,3568532
1933.25,1290,3574318.1
1933.333333,2240,3580141.6
1933.416667,561,3586002.3
1933.5,116,3591899.6
1933.583333,24,3597833.3
1933.666667,15,3603802.8
1933.75,33,3609807.7
1933.833333,18,3615847.8
1933.916667,16,3621922.5
1934,38,3628031.4
1934.083333,26,3634174.2
1934.166667,45,3640350.5
1934.25,151,3646559.8
1934.333333,168,3652801.8
1934.416667,57,3659076
1934.5,32,3665382
1934.583333,29,3671719.5
1934.666667,27,3678088
1934.75,20,3684487.1
1934.833333,106,3690916.4
1934.916667,1522,3697375.6
1935,2013,3703864.1
1935.083333,434,3710381.7
1935.166667,205,3716927.9
1935.25,528,3723502.2
1935.333333,634,3730104.4
1935.416667,195,3736733.9
1935.5,45,3743390.5
1935.583333,33,3750073.6
1935.666667,19,3756782.9
1935.75,20,3763518
1935.833333,46,3770278.4
1935.916667,107,3777063.8
1936,725,3783873.8
1936.083333,572,3790708
1936.166667,183,3797565.9
1936.25,2199,3804447.1
1936.333333,4018,3811351.3
1936.416667,428,3818278
1936.5,67,3825226.9
1936.583333,31,3832197.5
1936.666667,8,3839189.4
1936.75,44,3846202.3
1936.833333,484,3853235.7
1936.916667,1324,3860289.2
1937,2054,3867362.4
1937.083333,467,3874454.9
1937.166667,216,3881566.3
1937.25,673,3888696.3
1937.333333,887,3895844.3
1937.416667,353,3903010
1937.5,73,3910193.1
1937.583333,46,3917393
1937.666667,15,3924609.3
1937.75,20,3931841.8
1937.833333,27,3939089.9
1937.916667,25,3946353.4
1938,38,3953631.6
1938.083333,158,3960924.4
1938.166667,312,3968231.2
1938.25,1226,3975551.6
1938.333333,1021,3982885.3
1938.416667,222,3990231.9
1938.5,90,3997590.8
1938.583333,31,4004961.9
1938.666667,93,4012344.5
1938.75,368,4019738.4
1938.833333,657,4027143.1
1938.916667,2208,4034558.3
1939,2178,4041983.4
1939.083333,702,4049418.2
1939.166667,157,4056862.2
1939.25,317,4064315
1939.333333,146,4071776.1
1939.416667,63,4079245.3
1939.5,27,4086722.1
1939.583333,22,4094206.1
1939.666667,23,4101696.8
1939.75,28,4109194
1939.833333,225,4116697.1
1939.916667,483,4124205.7
1940,319,4131719.6
1940.083333,120,4139238.2
1940.166667,59,4146761.2
1940.25,274,4154288.1
1940.333333,282,4161818.6
1940.416667,155,4169352.3
1940.5,31,4176888.7
1940.583333,16,4184427.4
1940.666667,15,4191968
1940.75,12,4199510.2
1940.833333,14,4207053.6
1940.916667,14,4214597.6
1941,42,4222142
